Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
22.83,0.928667,0.934751
22.84,0.928611,0.931532
22.85,0.928556,0.931044
22.86,0.928500,0.931709
22.87,0.928444,0.929417
22.88,0.928389,0.929680
22.89,0.928333,0.932616
22.90,0.928278,0.933088
22.91,0.928222,0.932072
22.92,0.928167,0.932173
22.93,0.928111,0.932325
22.94,0.928056,0.935318
22.95,0.928000,0.932333
22.96,0.927944,0.932914
22.97,0.927889,0.931615
22.98,0.927833,0.928970
22.99,0.927778,0.930385
23.00,0.927722,0.931494
23.01,0.927667,0.932634
23.02,0.927611,0.931662
23.03,0.927556,0.931094
23.04,0.927500,0.931970
23.05,0.927444,0.932664
23.06,0.927389,0.930425
23.07,0.927333,0.930209
23.08,0.927278,0.931434
23.09,0.927222,0.928217
23.10,0.927167,0.925224
23.11,0.927111,0.925825
23.12,0.927056,0.927680
23.13,0.927000,0.930383
23.14,0.926944,0.929547
23.15,0.926889,0.925633
23.16,0.926833,0.926825
23.17,0.926778,0.927446
23.18,0.926722,0.928381
23.19,0.926667,0.931074
23.20,0.926611,0.931049
23.21,0.926556,0.929641
23.22,0.926500,0.930311
23.23,0.926444,0.925751
23.24,0.926389,0.925883
23.25,0.926333,0.928237
23.26,0.926278,0.932549
23.27,0.926222,0.928212
23.28,0.926167,0.926576
23.29,0.926111,0.925632
23.30,0.926056,0.924095
23.31,0.926000,0.924143
23.32,0.925944,0.924023
23.33,0.925889,0.925187
23.34,0.925833,0.922757
23.35,0.925778,0.918646
23.36,0.925722,0.917124
23.37,0.925667,0.921438
23.38,0.925611,0.921812
23.39,0.925556,0.923018
23.40,0.925500,0.922134
23.41,0.925444,0.923163
23.42,0.925389,0.926802
23.43,0.925333,0.928135
23.44,0.925278,0.925068
23.45,0.925222,0.923067
23.46,0.925167,0.920206
23.47,0.925111,0.921101
23.48,0.925056,0.919451
23.49,0.925000,0.920693
23.50,0.924944,0.917758
23.51,0.924889,0.917298
23.52,0.924833,0.918528
23.53,0.924778,0.923107
23.54,0.924722,0.923265
23.55,0.924667,0.922239
23.56,0.924611,0.922016
23.57,0.924556,0.917966
23.58,0.924500,0.916809
23.59,0.924444,0.914322
23.60,0.924389,0.913010
23.61,0.924333,0.914658
23.62,0.924278,0.913389
23.63,0.924222,0.911296
23.64,0.924167,0.908735
23.65,0.924111,0.912441
23.66,0.924056,0.911837
23.67,0.924000,0.913444
23.68,0.923944,0.914289
23.69,0.923889,0.914941
23.70,0.923833,0.914848
23.71,0.923778,0.916620
23.72,0.923722,0.914899
23.73,0.923667,0.915538
23.74,0.923611,0.918488
23.75,0.923556,0.918370
23.76,0.923500,0.918025
23.77,0.923444,0.916436
23.78,0.923389,0.917041
23.79,0.923333,0.916948
23.80,0.923278,0.915888
23.81,0.923222,0.915928
23.82,0.923167,0.920177
23.83,0.923111,0.919497
23.84,0.923056,0.917807
23.85,0.923000,0.917464
23.86,0.922944,0.915867
23.87,0.922889,0.917667
23.88,0.922833,0.918748
23.89,0.922778,0.915405
23.90,0.922722,0.917495
23.91,0.922667,0.918516
23.92,0.922611,0.918833
23.93,0.922556,0.919655
23.94,0.922500,0.921491
23.95,0.922444,0.919625
23.96,0.922389,0.921118
23.97,0.922333,0.921378
23.98,0.922278,0.921004
23.99,0.922222,0.921718
24.00,0.922167,0.916397
24.01,0.922111,0.914683
24.02,0.922056,0.913113
24.03,0.922000,0.916856
24.04,0.921944,0.916677
24.05,0.921889,0.914023
24.06,0.921833,0.913612
24.07,0.921778,0.916886
24.08,0.921722,0.921361
24.09,0.921667,0.918608
24.10,0.921611,0.919709
24.11,0.921556,0.919291
24.12,0.921500,0.916226
24.13,0.921444,0.917547
24.14,0.921389,0.919474
24.15,0.921333,0.916398
24.16,0.921278,0.916554
24.17,0.921222,0.917460
24.18,0.921167,0.917827
24.19,0.921111,0.919111
24.20,0.921056,0.919383
24.21,0.921000,0.919824
24.22,0.920944,0.923383
24.23,0.920889,0.922993
24.24,0.920833,0.924405
24.25,0.920778,0.927525
24.26,0.920722,0.923852
24.27,0.920667,0.921528
24.28,0.920611,0.921517
24.29,0.920556,0.918365
24.30,0.920500,0.916381
24.31,0.920444,0.920940
24.32,0.920389,0.924190
24.33,0.920333,0.922078
24.34,0.920278,0.922452
24.35,0.920222,0.920666
24.36,0.920167,0.919668
24.37,0.920111,0.924689
24.38,0.920056,0.923953
24.39,0.920000,0.919794
24.40,0.919944,0.918048
24.41,0.919889,0.920246
24.42,0.919833,0.917791
24.43,0.919778,0.920928
24.44,0.919722,0.922658
24.45,0.919667,0.922949
24.46,0.919611,0.920898
24.47,0.919556,0.923095
24.48,0.919500,0.922967
24.49,0.919444,0.921846
24.50,0.919389,0.921976
24.51,0.919333,0.924914
24.52,0.919278,0.922280
24.53,0.919222,0.920758
24.54,0.919167,0.920962
24.55,0.919111,0.922749
24.56,0.919056,0.920033
24.57,0.919000,0.925299
24.58,0.918944,0.925056
24.59,0.918889,0.921697
24.60,0.918833,0.922639
24.61,0.918778,0.927385
24.62,0.918722,0.926738
24.63,0.918667,0.928987
24.64,0.918611,0.930071
24.65,0.918556,0.928830
24.66,0.918500,0.933393
24.67,0.918444,0.930435
24.68,0.918389,0.927416
24.69,0.918333,0.927994
24.70,0.918278,0.930038
24.71,0.918222,0.926845
24.72,0.918167,0.929563
24.73,0.918111,0.928324
24.74,0.918056,0.926812
24.75,0.918000,0.928467
24.76,0.917944,0.929963
24.77,0.917889,0.933324
24.78,0.917833,0.933477
24.79,0.917778,0.933454
24.80,0.917722,0.935618
24.81,0.917667,0.936613
24.82,0.917611,0.937528
24.83,0.917556,0.935928
24.84,0.917500,0.932457
24.85,0.917444,0.934344
24.86,0.917389,0.934528
24.87,0.917333,0.934827
24.88,0.917278,0.937436
24.89,0.917222,0.934518
24.90,0.917167,0.930824
24.91,0.917111,0.929522
24.92,0.917056,0.930690
24.93,0.917000,0.930878
24.94,0.916944,0.932199
24.95,0.916889,0.933430
24.96,0.916833,0.937318
24.97,0.916778,0.941126
24.98,0.916722,0.938527
24.99,0.916667,0.941950
25.00,0.916667,0.940756
25.01,0.916667,0.942580
25.02,0.916667,0.942033
25.03,0.916667,0.942513
25.04,0.916667,0.947112
25.05,0.916667,0.945211
25.06,0.916667,0.940596
25.07,0.916667,0.940806
25.08,0.916667,0.940115
25.09,0.916667,0.943575
25.10,0.916667,0.942888
25.11,0.916667,0.941190
25.12,0.916667,0.941386
25.13,0.916667,0.941281
25.14,0.916667,0.943882
25.15,0.916667,0.943185
25.16,0.916667,0.947254
25.17,0.916667,0.947149
25.18,0.916667,0.945841
25.19,0.916667,0.942151
25.20,0.916667,0.941912
25.21,0.916667,0.941735
25.22,0.916667,0.939756
25.23,0.916667,0.939868
25.24,0.916667,0.935092
25.25,0.916667,0.931742
25.26,0.916667,0.934857
25.27,0.916667,0.935798
25.28,0.916667,0.933274
25.29,0.916667,0.931770
25.30,0.916667,0.933805
25.31,0.916667,0.937972
25.32,0.916667,0.938058
25.33,0.916667,0.933240
25.34,0.916667,0.933369
25.35,0.916667,0.934520
25.36,0.916667,0.935351
25.37,0.916667,0.935918
25.38,0.916667,0.935560
25.39,0.916667,0.937881
25.40,0.916667,0.937306
25.41,0.916667,0.936619
25.42,0.916667,0.938557
25.43,0.916667,0.936506
25.44,0.916667,0.937415
25.45,0.916667,0.936666
25.46,0.916667,0.937268
25.47,0.916667,0.932745
25.48,0.916667,0.931119
25.49,0.916667,0.927516
25.50,0.916667,0.932760
25.51,0.916667,0.935516
25.52,0.916667,0.935287
25.53,0.916667,0.932751
25.54,0.916667,0.936061
25.55,0.916667,0.935271
25.56,0.916667,0.933343
25.57,0.916667,0.931208
25.58,0.916667,0.931074
25.59,0.916667,0.935710
25.60,0.916667,0.935542
25.61,0.916667,0.932685
25.62,0.916667,0.932702
25.63,0.916667,0.933820
25.64,0.916667,0.931422
25.65,0.916667,0.932569
25.66,0.916667,0.933508
25.67,0.916667,0.931360
25.68,0.916667,0.932449
25.69,0.916667,0.933205
25.70,0.916667,0.930756
25.71,0.916667,0.929216
25.72,0.916667,0.928508
25.73,0.916667,0.925975
25.74,0.916667,0.923983
25.75,0.916667,0.927324
25.76,0.916667,0.928443
25.77,0.916667,0.923564
25.78,0.916667,0.924207
25.79,0.916667,0.922618
25.80,0.916667,0.921807
25.81,0.916667,0.923726
25.82,0.916667,0.920792
25.83,0.916667,0.923164
25.84,0.916667,0.925421
25.85,0.916667,0.924116
25.86,0.916667,0.927777
25.87,0.916667,0.927773
25.88,0.916667,0.932162
25.89,0.916667,0.929715
25.90,0.916667,0.930664
25.91,0.916667,0.930046
25.92,0.916667,0.926840
25.93,0.916667,0.925930
25.94,0.916667,0.926403
25.95,0.916667,0.927858
25.96,0.916667,0.928536
25.97,0.916667,0.925668
25.98,0.916667,0.923419
25.99,0.916667,0.928541
26.00,0.916667,0.928465
26.01,0.916667,0.928827
26.02,0.916667,0.925387
26.03,0.916667,0.925502
26.04,0.916667,0.929842
26.05,0.916667,0.928492
26.06,0.916667,0.927921
26.07,0.916667,0.927484
26.08,0.916667,0.928919
26.09,0.916667,0.930142
26.10,0.916667,0.927473
26.11,0.916667,0.928665
26.12,0.916667,0.927025
26.13,0.916667,0.922111
26.14,0.916667,0.919862
26.15,0.916667,0.919032
26.16,0.916667,0.923031
26.17,0.916667,0.922762
26.18,0.916667,0.921742
26.19,0.916667,0.924058
26.20,0.916667,0.926077
26.21,0.916667,0.927612
26.22,0.916667,0.922984
26.23,0.916667,0.925905
26.24,0.916667,0.924068
26.25,0.916667,0.920828
26.26,0.916667,0.918221
26.27,0.916667,0.919687
26.28,0.916667,0.919925
26.29,0.916667,0.922101
26.30,0.916667,0.924988
26.31,0.916667,0.922600
26.32,0.916667,0.926606
26.33,0.916667,0.921100
26.34,0.916667,0.918540
26.35,0.916667,0.918679
26.36,0.916667,0.920766
26.37,0.916667,0.922491
26.38,0.916667,0.923554
26.39,0.916667,0.917537
26.40,0.916667,0.916374
26.41,0.916667,0.918198
26.42,0.916667,0.915446
26.43,0.916667,0.911050
26.44,0.916667,0.909841
26.45,0.916667,0.910364
26.46,0.916667,0.904369
26.47,0.916667,0.907600
26.48,0.916667,0.904000
26.49,0.916667,0.905342
26.50,0.916667,0.907292
26.51,0.916667,0.905467
26.52,0.916667,0.908047
26.53,0.916667,0.909622
26.54,0.916667,0.910780
26.55,0.916667,0.908934
26.56,0.916667,0.909221
26.57,0.916667,0.911338
26.58,0.916667,0.913476
26.59,0.916667,0.917213
26.60,0.916667,0.922711
26.61,0.916667,0.926375
26.62,0.916667,0.921133
26.63,0.916667,0.921530
26.64,0.916667,0.922556
26.65,0.916667,0.924129
26.66,0.916667,0.923381
26.67,0.916667,0.922585
26.68,0.916667,0.924863
26.69,0.916667,0.921422
26.70,0.916667,0.923981
26.71,0.916667,0.922915
26.72,0.916667,0.925186
26.73,0.916667,0.925178
26.74,0.916667,0.924270
26.75,0.916667,0.927853
26.76,0.916667,0.927528
26.77,0.916667,0.931425
26.78,0.916667,0.927636
26.79,0.916667,0.925144
26.80,0.916667,0.924178
26.81,0.916667,0.924956
26.82,0.916667,0.924056
26.83,0.916667,0.923495
26.84,0.916667,0.922625
26.85,0.916667,0.927087
26.86,0.916667,0.927221
26.87,0.916667,0.925434
26.88,0.916667,0.925158
26.89,0.916667,0.925465
26.90,0.916667,0.923013
26.91,0.916667,0.925293
26.92,0.916667,0.923995
26.93,0.916667,0.926001
26.94,0.916667,0.924750
26.95,0.916667,0.925263
26.96,0.916667,0.920623
26.97,0.916667,0.920461
26.98,0.916667,0.921525
26.99,0.916667,0.916191
27.00,0.916667,0.916829
27.01,0.916667,0.918229
27.02,0.916667,0.918635
27.03,0.916667,0.916967
27.04,0.916667,0.919783
27.05,0.916667,0.922730
27.06,0.916667,0.925808
27.07,0.916667,0.923593
27.08,0.916667,0.927815
27.09,0.916667,0.922451
27.10,0.916667,0.924700
27.11,0.916667,0.919208
27.12,0.916667,0.916747
27.13,0.916667,0.921000
27.14,0.916667,0.916813
27.15,0.916667,0.920032
27.16,0.916667,0.924539
27.17,0.916667,0.927195
27.18,0.916667,0.930052
27.19,0.916667,0.933560
27.20,0.916667,0.930897
27.21,0.916667,0.928356
27.22,0.916667,0.928342
27.23,0.916667,0.926444
27.24,0.916667,0.924718
27.25,0.916667,0.921992
27.26,0.916667,0.917505
27.27,0.916667,0.915389
27.28,0.916667,0.914235
27.29,0.916667,0.913560
27.30,0.916667,0.911207
27.31,0.916667,0.913986
27.32,0.916667,0.916832
27.33,0.916667,0.913947
27.34,0.916667,0.917251
27.35,0.916667,0.913639
27.36,0.916667,0.907891
27.37,0.916667,0.905206
27.38,0.916667,0.901083
27.39,0.916667,0.900446
27.40,0.916667,0.904585
27.41,0.916667,0.906671
27.42,0.916667,0.904204
27.43,0.916667,0.905907
27.44,0.916667,0.907570
27.45,0.916667,0.906390
27.46,0.916667,0.906999
27.47,0.916667,0.909491
27.48,0.916667,0.908985
27.49,0.916667,0.906525
27.50,0.916667,0.906738
27.51,0.916667,0.907209
27.52,0.916667,0.907212
27.53,0.916667,0.904332
27.54,0.916667,0.903742
27.55,0.916667,0.904613
27.56,0.916667,0.901983
27.57,0.916667,0.902959
27.58,0.916667,0.905292
27.59,0.916667,0.906388
27.60,0.916667,0.907003
27.61,0.916667,0.910820
27.62,0.916667,0.909161
27.63,0.916667,0.909970
27.64,0.916667,0.907933
27.65,0.916667,0.910285
27.66,0.916667,0.904224
27.67,0.916667,0.904818
27.68,0.916667,0.906652
27.69,0.916667,0.909174
27.70,0.916667,0.909001
27.71,0.916667,0.913513
27.72,0.916667,0.916076
27.73,0.916667,0.920757
27.74,0.916667,0.922034
27.75,0.916667,0.927901
27.76,0.916667,0.924652
27.77,0.916667,0.919424
27.78,0.916667,0.918876
27.79,0.916667,0.917881
27.80,0.916667,0.915055
27.81,0.916667,0.916595
27.82,0.916667,0.917439
27.83,0.916667,0.919652
27.84,0.916667,0.923471
27.85,0.916667,0.920311
27.86,0.916667,0.921796
27.87,0.916667,0.918543
27.88,0.916667,0.914299
27.89,0.916667,0.911084
27.90,0.916667,0.907076
27.91,0.916667,0.907944
27.92,0.916667,0.913505
27.93,0.916667,0.915218
27.94,0.916667,0.919552
27.95,0.916667,0.917467
27.96,0.916667,0.920087
27.97,0.916667,0.917461
27.98,0.916667,0.918554
27.99,0.916667,0.919952
28.00,0.916667,0.919452
28.01,0.916667,0.917968
28.02,0.916667,0.919782
28.03,0.916667,0.922485
28.04,0.916667,0.920728
28.05,0.916667,0.918746
28.06,0.916667,0.916939
28.07,0.916667,0.917249
28.08,0.916667,0.916348
28.09,0.916667,0.917134
28.10,0.916667,0.921776
28.11,0.916667,0.924109
28.12,0.916667,0.925247
28.13,0.916667,0.922083
28.14,0.916667,0.920527
28.15,0.916667,0.923025
28.16,0.916667,0.919504
28.17,0.916667,0.916066
28.18,0.916667,0.913308
28.19,0.916667,0.914365
28.20,0.916667,0.916946
28.21,0.916667,0.918458
28.22,0.916667,0.919665
28.23,0.916667,0.918701
28.24,0.916667,0.912457
28.25,0.916667,0.913811
28.26,0.916667,0.913181
28.27,0.916667,0.909611
28.28,0.916667,0.913719
28.29,0.916667,0.913028
28.30,0.916667,0.912015
28.31,0.916667,0.912371
28.32,0.916667,0.910701
28.33,0.916667,0.912231
28.34,0.916667,0.913930
28.35,0.916667,0.909528
28.36,0.916667,0.910149
28.37,0.916667,0.904486
28.38,0.916667,0.906570
28.39,0.916667,0.909891
28.40,0.916667,0.912595
28.41,0.916667,0.913820
28.42,0.916667,0.916030
28.43,0.916667,0.915421
28.44,0.916667,0.909962
28.45,0.916667,0.911523
28.46,0.916667,0.912641
28.47,0.916667,0.913193
28.48,0.916667,0.913394
28.49,0.916667,0.914943
28.50,0.916667,0.917064
28.51,0.916667,0.919610
28.52,0.916667,0.925076
28.53,0.916667,0.922216
28.54,0.916667,0.924640
28.55,0.916667,0.927282
28.56,0.916667,0.926808
28.57,0.916667,0.928382
28.58,0.916667,0.925712
28.59,0.916667,0.926767
28.60,0.916667,0.920737
28.61,0.916667,0.920211
28.62,0.916667,0.914196
28.63,0.916667,0.920217
28.64,0.916667,0.920590
28.65,0.916667,0.922385
28.66,0.916667,0.922844
28.67,0.916667,0.920701
28.68,0.916667,0.925149
28.69,0.916667,0.926427
28.70,0.916667,0.921203
28.71,0.916667,0.922645
28.72,0.916667,0.924663
28.73,0.916667,0.920635
28.74,0.916667,0.921609
28.75,0.916667,0.924681
28.76,0.916667,0.928838
28.77,0.916667,0.925045
28.78,0.916667,0.927898
28.79,0.916667,0.927273
28.80,0.916667,0.927818
28.81,0.916667,0.926782
28.82,0.916667,0.929873
28.83,0.916667,0.931591
28.84,0.916667,0.934771
28.85,0.916667,0.929868
28.86,0.916667,0.931040
28.87,0.916667,0.931090
28.88,0.916667,0.932023
28.89,0.916667,0.929992
28.90,0.916667,0.927736
28.91,0.916667,0.932388
28.92,0.916667,0.934532
28.93,0.916667,0.935113
28.94,0.916667,0.935130
28.95,0.916667,0.938097
28.96,0.916667,0.936051
28.97,0.916667,0.940030
28.98,0.916667,0.942200
28.99,0.916667,0.940331
29.00,0.916667,0.934584
29.01,0.916667,0.932686
29.02,0.916667,0.928907
29.03,0.916667,0.932308
29.04,0.916667,0.935973
29.05,0.916667,0.937967
29.06,0.916667,0.934193
29.07,0.916667,0.938643
29.08,0.916667,0.940435
29.09,0.916667,0.939635
29.10,0.916667,0.938231
29.11,0.916667,0.934585
29.12,0.916667,0.932750
29.13,0.916667,0.932135
29.14,0.916667,0.933468
29.15,0.916667,0.933389
29.16,0.916667,0.937526
29.17,0.916667,0.933406
29.18,0.916667,0.930700
29.19,0.916667,0.930895
29.20,0.916667,0.933786
29.21,0.916667,0.930239
29.22,0.916667,0.925045
29.23,0.916667,0.926764
29.24,0.916667,0.925393
29.25,0.916667,0.925644
29.26,0.916667,0.923466
29.27,0.916667,0.920298
29.28,0.916667,0.920048
29.29,0.916667,0.915228
29.30,0.916667,0.913510
29.31,0.916667,0.912666
29.32,0.916667,0.918574
29.33,0.916667,0.918920
29.34,0.916667,0.917525
29.35,0.916667,0.914008
29.36,0.916667,0.914609
29.37,0.916667,0.912198
29.38,0.916667,0.915276
29.39,0.916667,0.915357
29.40,0.916667,0.913555
29.41,0.916667,0.913607
29.42,0.916667,0.918188
29.43,0.916667,0.914227
29.44,0.916667,0.914335
29.45,0.916667,0.918692
29.46,0.916667,0.920712
29.47,0.916667,0.920591
29.48,0.916667,0.925984
29.49,0.916667,0.930548
29.50,0.916667,0.928090
29.51,0.916667,0.933303
29.52,0.916667,0.927630
29.53,0.916667,0.933488
29.54,0.916667,0.934592
29.55,0.916667,0.934196
29.56,0.916667,0.927934
29.57,0.916667,0.928191
29.58,0.916667,0.933203
29.59,0.916667,0.936273
29.60,0.916667,0.939410
29.61,0.916667,0.935955
29.62,0.916667,0.936092
29.63,0.916667,0.936855
29.64,0.916667,0.941738
29.65,0.916667,0.940472
29.66,0.916667,0.944425
29.67,0.916667,0.940913
29.68,0.916667,0.938118
29.69,0.916667,0.938202
29.70,0.916667,0.934420
29.71,0.916667,0.936563
29.72,0.916667,0.942518
29.73,0.916667,0.940382
29.74,0.916667,0.939637
29.75,0.916667,0.935671
29.76,0.916667,0.933420
29.77,0.916667,0.937773
29.78,0.916667,0.935261
29.79,0.916667,0.932032
29.80,0.916667,0.929658
29.81,0.916667,0.929593
29.82,0.916667,0.931156
29.83,0.916667,0.931902
29.84,0.916667,0.932914
29.85,0.916667,0.930021
29.86,0.916667,0.926987
29.87,0.916667,0.927204
29.88,0.916667,0.929038
29.89,0.916667,0.928639
29.90,0.916667,0.925424
29.91,0.916667,0.922923
29.92,0.916667,0.921822
29.93,0.916667,0.920258
29.94,0.916667,0.917596
29.95,0.916667,0.919600
29.96,0.916667,0.917801
29.97,0.916667,0.923770
29.98,0.916667,0.922082
29.99,0.916667,0.924191
30.00,0.916611,0.923999
30.01,0.916556,0.924090
30.02,0.916500,0.922976
30.03,0.916444,0.923725
30.04,0.916389,0.923327
30.05,0.916333,0.925417
30.06,0.916278,0.930366
30.07,0.916222,0.925177
30.08,0.916167,0.924803
30.09,0.916111,0.928986
30.10,0.916056,0.928305
30.11,0.916000,0.925361
30.12,0.915944,0.922699
30.13,0.915889,0.919108
30.14,0.915833,0.921296
30.15,0.915778,0.926918
30.16,0.915722,0.927129
30.17,0.915667,0.925415
30.18,0.915611,0.925380
30.19,0.915556,0.925265
30.20,0.915500,0.926229
30.21,0.915444,0.925237
30.22,0.915389,0.922060
30.23,0.915333,0.920599
30.24,0.915278,0.926381
30.25,0.915222,0.923380
30.26,0.915167,0.925450
30.27,0.915111,0.928757
30.28,0.915056,0.929406
30.29,0.915000,0.931898
30.30,0.914944,0.933828
30.31,0.914889,0.931630
30.32,0.914833,0.928195
30.33,0.914778,0.929783
30.34,0.914722,0.932408
30.35,0.914667,0.929381
30.36,0.914611,0.929364
30.37,0.914556,0.925760
30.38,0.914500,0.926547
30.39,0.914444,0.926739
30.40,0.914389,0.931584
30.41,0.914333,0.930860
30.42,0.914278,0.933303
30.43,0.914222,0.929301
30.44,0.914167,0.927692
30.45,0.914111,0.926334
30.46,0.914056,0.924869
30.47,0.914000,0.920350
30.48,0.913944,0.917375
30.49,0.913889,0.916490
30.50,0.913833,0.916056
30.51,0.913778,0.920880
30.52,0.913722,0.921118
30.53,0.913667,0.917968
30.54,0.913611,0.913888
30.55,0.913556,0.913869
30.56,0.913500,0.913058
30.57,0.913444,0.915513
30.58,0.913389,0.915886
30.59,0.913333,0.913863
30.60,0.913278,0.913553
30.61,0.913222,0.914403
30.62,0.913167,0.915227
30.63,0.913111,0.918196
30.64,0.913056,0.915167
30.65,0.913000,0.914160
30.66,0.912944,0.917805
30.67,0.912889,0.917167
30.68,0.912833,0.918784
30.69,0.912778,0.924116
30.70,0.912722,0.926783
30.71,0.912667,0.923958
30.72,0.912611,0.923010
30.73,0.912556,0.926426
30.74,0.912500,0.924831
30.75,0.912444,0.926896
30.76,0.912389,0.926953
30.77,0.912333,0.924910
30.78,0.912278,0.922915
30.79,0.912222,0.926839
30.80,0.912167,0.927904
30.81,0.912111,0.930902
30.82,0.912056,0.929617
30.83,0.912000,0.928509
30.84,0.911944,0.927204
30.85,0.911889,0.925786
30.86,0.911833,0.929492
30.87,0.911778,0.928304
30.88,0.911722,0.927074
30.89,0.911667,0.926676
30.90,0.911611,0.929556
30.91,0.911556,0.933311
30.92,0.911500,0.936752
30.93,0.911444,0.932823
30.94,0.911389,0.934238
30.95,0.911333,0.939038
30.96,0.911278,0.933734
30.97,0.911222,0.936943
30.98,0.911167,0.934894
30.99,0.911111,0.929175
31.00,0.911056,0.933226
31.01,0.911000,0.934181
31.02,0.910944,0.934021
31.03,0.910889,0.935758
31.04,0.910833,0.939129
31.05,0.910778,0.936570
31.06,0.910722,0.935826
31.07,0.910667,0.938972
31.08,0.910611,0.934801
31.09,0.910556,0.936144
31.10,0.910500,0.931017
31.11,0.910444,0.932604
31.12,0.910389,0.931439
31.13,0.910333,0.931986
31.14,0.910278,0.933690
31.15,0.910222,0.939449
31.16,0.910167,0.940813
31.17,0.910111,0.943752
31.18,0.910056,0.940312
31.19,0.910000,0.941503
31.20,0.909944,0.942589
31.21,0.909889,0.940787
31.22,0.909833,0.940498
31.23,0.909778,0.944327
31.24,0.909722,0.943068
31.25,0.909667,0.941244
31.26,0.909611,0.942042
31.27,0.909556,0.942966
31.28,0.909500,0.942541
31.29,0.909444,0.936830
31.30,0.909389,0.938472
31.31,0.909333,0.938672
31.32,0.909278,0.935554
31.33,0.909222,0.933987
31.34,0.909167,0.935622
31.35,0.909111,0.931908
31.36,0.909056,0.935878
31.37,0.909000,0.934147
31.38,0.908944,0.930611
31.39,0.908889,0.923848
31.40,0.908833,0.924184
31.41,0.908778,0.921563
31.42,0.908722,0.921520
31.43,0.908667,0.915051
31.44,0.908611,0.913618
31.45,0.908556,0.909635
31.46,0.908500,0.910109
31.47,0.908444,0.905694
31.48,0.908389,0.907081
31.49,0.908333,0.904220
31.50,0.908278,0.902170
31.51,0.908222,0.905865
31.52,0.908167,0.904806
31.53,0.908111,0.904806
31.54,0.908056,0.908580
31.55,0.908000,0.909592
31.56,0.907944,0.910795
31.57,0.907889,0.912859
31.58,0.907833,0.906124
31.59,0.907778,0.901340
31.60,0.907722,0.903346
31.61,0.907667,0.903896
31.62,0.907611,0.904352
31.63,0.907556,0.900120
31.64,0.907500,0.906383
31.65,0.907444,0.909144
31.66,0.907389,0.909531
31.67,0.907333,0.914438
31.68,0.907278,0.912528
31.69,0.907222,0.909778
31.70,0.907167,0.913265
31.71,0.907111,0.910859
31.72,0.907056,0.908146
31.73,0.907000,0.909143
31.74,0.906944,0.908777
31.75,0.906889,0.907748
31.76,0.906833,0.902575
31.77,0.906778,0.902895
31.78,0.906722,0.900672
31.79,0.906667,0.903494
31.80,0.906611,0.904826
31.81,0.906556,0.907017
31.82,0.906500,0.905798
31.83,0.906444,0.902742
31.84,0.906389,0.903798
31.85,0.906333,0.901313
31.86,0.906278,0.901278
31.87,0.906222,0.901918
31.88,0.906167,0.903884
31.89,0.906111,0.906243
31.90,0.906056,0.904208
31.91,0.906000,0.903271
31.92,0.905944,0.907291
31.93,0.905889,0.910534
31.94,0.905833,0.913021
31.95,0.905778,0.916711
31.96,0.905722,0.914989
31.97,0.905667,0.914434
31.98,0.905611,0.907829
31.99,0.905556,0.911428
32.00,0.905500,0.913510
32.01,0.905444,0.910440
32.02,0.905389,0.910078
32.03,0.905333,0.916619
32.04,0.905278,0.918787
32.05,0.905222,0.917822
32.06,0.905167,0.915909
32.07,0.905111,0.918169
32.08,0.905056,0.916018
32.09,0.905000,0.916242
32.10,0.904944,0.913232
32.11,0.904889,0.910076
32.12,0.904833,0.916319
32.13,0.904778,0.916161
32.14,0.904722,0.918633
32.15,0.904667,0.913142
32.16,0.904611,0.912230
32.17,0.904556,0.910892
32.18,0.904500,0.911545
32.19,0.904444,0.911125
32.20,0.904389,0.912290
32.21,0.904333,0.908455
32.22,0.904278,0.902383
32.23,0.904222,0.902273
32.24,0.904167,0.898090
32.25,0.904111,0.899674
32.26,0.904056,0.901290
32.27,0.904000,0.897123
32.28,0.903944,0.898046
32.29,0.903889,0.902644
32.30,0.903833,0.903649
32.31,0.903778,0.900393
32.32,0.903722,0.902058
32.33,0.903667,0.898837
32.34,0.903611,0.903183
32.35,0.903556,0.904618
32.36,0.903500,0.897167
32.37,0.903444,0.893010
32.38,0.903389,0.894783
32.39,0.903333,0.894316
32.40,0.903278,0.896587
32.41,0.903222,0.900540
32.42,0.903167,0.896434
32.43,0.903111,0.896293
32.44,0.903056,0.903130
32.45,0.903000,0.902205
32.46,0.902944,0.902517
32.47,0.902889,0.902971
32.48,0.902833,0.905538
32.49,0.902778,0.907503
32.50,0.902722,0.910932
32.51,0.902667,0.909260
32.52,0.902611,0.909075
32.53,0.902556,0.906841
32.54,0.902500,0.904132
32.55,0.902444,0.904763
32.56,0.902389,0.903702
32.57,0.902333,0.904187
32.58,0.902278,0.906026
32.59,0.902222,0.902341
32.60,0.902167,0.900879
32.61,0.902111,0.905166
32.62,0.902056,0.909416
32.63,0.902000,0.910280
32.64,0.901944,0.903348
32.65,0.901889,0.903379
32.66,0.901833,0.907825
32.67,0.901778,0.907426
32.68,0.901722,0.911685
32.69,0.901667,0.911411
32.70,0.901611,0.911901
32.71,0.901556,0.913216
32.72,0.901500,0.911984
32.73,0.901444,0.918183
32.74,0.901389,0.919789
32.75,0.901333,0.921428
32.76,0.901278,0.924550
32.77,0.901222,0.919027
32.78,0.901167,0.920072
32.79,0.901111,0.918485
