Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
1.98,0.989000,0.989859
1.99,0.988944,0.990151
2.00,0.988889,0.990087
2.01,0.988833,0.990213
2.02,0.988778,0.990292
2.03,0.988722,0.990557
2.04,0.988667,0.990437
2.05,0.988611,0.990139
2.06,0.988556,0.990099
2.07,0.988500,0.989850
2.08,0.988444,0.989662
2.09,0.988389,0.989596
2.10,0.988333,0.989728
2.11,0.988278,0.989405
2.12,0.988222,0.989354
2.13,0.988167,0.989119
2.14,0.988111,0.989217
2.15,0.988056,0.989209
2.16,0.988000,0.989002
2.17,0.987944,0.989160
2.18,0.987889,0.989060
2.19,0.987833,0.989190
2.20,0.987778,0.989000
2.21,0.987722,0.988826
2.22,0.987667,0.989061
2.23,0.987611,0.989168
2.24,0.987556,0.989276
2.25,0.987500,0.989309
2.26,0.987444,0.989004
2.27,0.987389,0.989277
2.28,0.987333,0.989039
2.29,0.987278,0.989161
2.30,0.987222,0.989441
2.31,0.987167,0.989554
2.32,0.987111,0.989419
2.33,0.987056,0.989231
2.34,0.987000,0.989123
2.35,0.986944,0.989002
2.36,0.986889,0.988796
2.37,0.986833,0.988671
2.38,0.986778,0.988632
2.39,0.986722,0.988588
2.40,0.986667,0.988404
2.41,0.986611,0.988686
2.42,0.986556,0.988890
2.43,0.986500,0.989088
2.44,0.986444,0.988797
2.45,0.986389,0.988531
2.46,0.986333,0.988195
2.47,0.986278,0.987969
2.48,0.986222,0.988019
2.49,0.986167,0.987960
2.50,0.986111,0.988008
2.51,0.986056,0.988079
2.52,0.986000,0.987610
2.53,0.985944,0.987336
2.54,0.985889,0.987199
2.55,0.985833,0.986937
2.56,0.985778,0.986749
2.57,0.985722,0.986773
2.58,0.985667,0.986993
2.59,0.985611,0.986899
2.60,0.985556,0.986803
2.61,0.985500,0.986297
2.62,0.985444,0.986445
2.63,0.985389,0.986248
2.64,0.985333,0.986076
2.65,0.985278,0.986015
2.66,0.985222,0.985775
2.67,0.985167,0.985628
2.68,0.985111,0.985501
2.69,0.985056,0.985463
2.70,0.985000,0.985156
2.71,0.984944,0.985048
2.72,0.984889,0.985432
2.73,0.984833,0.985087
2.74,0.984778,0.984573
2.75,0.984722,0.984486
2.76,0.984667,0.984570
2.77,0.984611,0.984579
2.78,0.984556,0.984380
2.79,0.984500,0.984247
2.80,0.984444,0.984114
2.81,0.984389,0.984124
2.82,0.984333,0.984258
2.83,0.984278,0.984319
2.84,0.984222,0.983870
2.85,0.984167,0.983912
2.86,0.984111,0.984023
2.87,0.984056,0.983705
2.88,0.984000,0.983635
2.89,0.983944,0.983544
2.90,0.983889,0.983806
2.91,0.983833,0.983857
2.92,0.983778,0.983923
2.93,0.983722,0.984040
2.94,0.983667,0.984156
2.95,0.983611,0.984087
2.96,0.983556,0.983990
2.97,0.983500,0.983624
2.98,0.983444,0.983675
2.99,0.983389,0.983713
3.00,0.983333,0.983460
3.01,0.983278,0.983205
3.02,0.983222,0.983267
3.03,0.983167,0.983129
3.04,0.983111,0.983038
3.05,0.983056,0.982752
3.06,0.983000,0.982645
3.07,0.982944,0.982912
3.08,0.982889,0.982744
3.09,0.982833,0.982874
3.10,0.982778,0.982653
3.11,0.982722,0.982929
3.12,0.982667,0.982765
3.13,0.982611,0.982790
3.14,0.982556,0.982626
3.15,0.982500,0.982294
3.16,0.982444,0.982323
3.17,0.982389,0.982313
3.18,0.982333,0.982202
3.19,0.982278,0.982181
3.20,0.982222,0.982112
3.21,0.982167,0.982526
3.22,0.982111,0.982177
3.23,0.982056,0.982449
3.24,0.982000,0.981933
3.25,0.981944,0.981559
3.26,0.981889,0.981575
3.27,0.981833,0.981538
3.28,0.981778,0.981693
3.29,0.981722,0.982161
3.30,0.981667,0.982702
3.31,0.981611,0.982894
3.32,0.981556,0.982625
3.33,0.981500,0.982522
3.34,0.981444,0.982495
3.35,0.981389,0.982413
3.36,0.981333,0.982346
3.37,0.981278,0.982616
3.38,0.981222,0.982105
3.39,0.981167,0.981942
3.40,0.981111,0.982522
3.41,0.981056,0.982514
3.42,0.981000,0.982385
3.43,0.980944,0.982397
3.44,0.980889,0.982136
3.45,0.980833,0.982005
3.46,0.980778,0.981812
